Elev.,Lat.,Lon.,Timestamp
54.0,47.24345267750323,-1.5551248379051685,2021-12-07T08:15:36+00:00
53.0,47.24339819513261,-1.5552231576293707,2021-12-07T08:15:36+00:00
54.0,47.24338423926383,-1.5552765503525734,2021-12-07T08:15:37+00:00
57.0,47.243337887339294,-1.5552506502717733,2021-12-07T08:15:39+00:00
57.0,47.243337887339294,-1.5552506502717733,2021-12-07T08:15:40+00:00
57.0,47.243337887339294,-1.5552506502717733,2021-12-07T08:15:41+00:00
57.0,47.243337887339294,-1.5552506502717733,2021-12-07T08:15:42+00:00
57.0,47.24332485347986,-1.555243944749236,2021-12-07T08:15:43+00:00
57.0,47.2433038149029,-1.5552361495792866,2021-12-07T08:15:44+00:00
56.0,47.24328885320574,-1.5552291087806225,2021-12-07T08:15:45+00:00
56.0,47.24327481351793,-1.5552157815545797,2021-12-07T08:15:46+00:00
56.0,47.24326215684414,-1.555197173729539,2021-12-07T08:15:47+00:00
56.0,47.24325909744948,-1.5551822539418936,2021-12-07T08:15:48+00:00
56.0,47.2432512184605,-1.5551623050123453,2021-12-07T08:15:49+00:00
56.0,47.243244177661836,-1.5551472175866365,2021-12-07T08:15:50+00:00
56.0,47.243237304501235,-1.5551312919706106,2021-12-07T08:15:51+00:00
57.0,47.24323168862611,-1.555111175402999,2021-12-07T08:15:52+00:00
56.0,47.24322946742177,-1.5550995245575905,2021-12-07T08:15:53+00:00
55.0,47.24323319736868,-1.5550928190350533,2021-12-07T08:15:54+00:00
55.0,47.24322846159339,-1.5550826769322157,2021-12-07T08:15:55+00:00
55.0,47.24322703666985,-1.5550680924206972,2021-12-07T08:15:56+00:00
55.0,47.24322712048888,-1.5550543460994959,2021-12-07T08:15:57+00:00
55.0,47.24322389345616,-1.5550396777689457,2021-12-07T08:15:58+00:00
55.0,47.24321953486651,-1.555022494867444,2021-12-07T08:15:59+00:00
54.0,47.24321865476668,-1.5550084970891476,2021-12-07T08:16:00+00:00
55.0,47.24321815185249,-1.5549932420253754,2021-12-07T08:16:01+00:00
54.0,47.2432131646201,-1.5549801662564278,2021-12-07T08:16:02+00:00
54.0,47.24320964422077,-1.5549660008400679,2021-12-07T08:16:03+00:00
54.0,47.243206249549985,-1.5549517516046762,2021-12-07T08:16:04+00:00
54.0,47.24320096895099,-1.5549363289028406,2021-12-07T08:16:05+00:00
55.0,47.243202393874526,-1.5549136977642775,2021-12-07T08:16:06+00:00
55.0,47.24319619126618,-1.554894084110856,2021-12-07T08:16:07+00:00
55.0,47.24319262895733,-1.5548778232187033,2021-12-07T08:16:08+00:00
55.0,47.2431875159964,-1.5548616461455822,2021-12-07T08:16:09+00:00
55.0,47.24317938555032,-1.5548432897776365,2021-12-07T08:16:10+00:00
56.0,47.24317502696067,-1.5548288729041815,2021-12-07T08:16:11+00:00
55.0,47.243161825463176,-1.554813701659441,2021-12-07T08:16:12+00:00
55.0,47.243158095516264,-1.5547996200621128,2021-12-07T08:16:13+00:00
55.0,47.24315654486418,-1.5547830238938332,2021-12-07T08:16:14+00:00
55.0,47.24315851461142,-1.5547667630016804,2021-12-07T08:16:15+00:00
55.0,47.24315541330725,-1.5547567885369062,2021-12-07T08:16:16+00:00
55.0,47.24315331783146,-1.5547472331672907,2021-12-07T08:16:17+00:00
55.0,47.24315189290792,-1.554744215682149,2021-12-07T08:16:18+00:00
55.0,47.24315239582211,-1.5547345764935017,2021-12-07T08:16:19+00:00
55.0,47.243153736926615,-1.5547223389148712,2021-12-07T08:16:20+00:00
55.0,47.243152018636465,-1.5547122806310654,2021-12-07T08:16:21+00:00
56.0,47.243149504065514,-1.554708257317543,2021-12-07T08:16:22+00:00
55.0,47.24314640276134,-1.5547134540975094,2021-12-07T08:16:23+00:00
55.0,47.24314355291426,-1.5547215845435858,2021-12-07T08:16:24+00:00
55.0,47.243143427185714,-1.554721836000681,2021-12-07T08:16:25+00:00
55.0,47.243143427185714,-1.554721836000681,2021-12-07T08:16:26+00:00
55.0,47.243143427185714,-1.554721836000681,2021-12-07T08:16:27+00:00
55.0,47.243143427185714,-1.554721836000681,2021-12-07T08:16:28+00:00
55.0,47.243143427185714,-1.554721836000681,2021-12-07T08:16:29+00:00
55.0,47.243143427185714,-1.554721836000681,2021-12-07T08:16:30+00:00
55.0,47.243143427185714,-1.554721836000681,2021-12-07T08:16:31+00:00
55.0,47.243143427185714,-1.554721836000681,2021-12-07T08:16:32+00:00
55.0,47.243143427185714,-1.554721836000681,2021-12-07T08:16:33+00:00
55.0,47.243143427185714,-1.554721836000681,2021-12-07T08:16:34+00:00
55.0,47.243143427185714,-1.554721836000681,2021-12-07T08:16:35+00:00
55.0,47.24314053542912,-1.5546888951212168,2021-12-07T08:16:36+00:00
55.0,47.24313760176301,-1.5546798426657915,2021-12-07T08:16:37+00:00
55.0,47.24313609302044,-1.5546663478016853,2021-12-07T08:16:38+00:00
55.0,47.24313701502979,-1.5546529367566109,2021-12-07T08:16:39+00:00
55.0,47.243137140758336,-1.5546407829970121,2021-12-07T08:16:40+00:00
54.0,47.24313793703914,-1.5546349994838238,2021-12-07T08:16:41+00:00
54.0,47.24313781131059,-1.5546277072280645,2021-12-07T08:16:42+00:00
54.0,47.24313726648688,-1.5546129550784826,2021-12-07T08:16:43+00:00
54.0,47.24313630256802,-1.5545984543859959,2021-12-07T08:16:44+00:00
54.0,47.24313232116401,-1.554577499628067,2021-12-07T08:16:45+00:00
54.0,47.24313039332628,-1.5545587241649628,2021-12-07T08:16:46+00:00
54.0,47.243128842674196,-1.5545440558344126,2021-12-07T08:16:47+00:00
55.0,47.24312921985984,-1.5545258671045303,2021-12-07T08:16:48+00:00
56.0,47.243127836845815,-1.5545028168708086,2021-12-07T08:16:49+00:00
