date	time	relative time [s]	Cm [mg/m^3]	Cn [P/cm^3]	M1,0 [µm]	M1,0 [µm]	
07/12/2021	09:05:04	720,42	0,010393	100,653526	0,308302	0,308302	
07/12/2021	09:05:14	730,33	0,021710	89,145012	0,345898	0,345898	
07/12/2021	09:05:24	740,84	0,023571	549,448364	0,257537	0,257537	
07/12/2021	09:05:34	750,52	0,023131	271,585327	0,272403	0,272403	
07/12/2021	09:05:44	760,73	0,059139	139,576401	0,306703	0,306703	
07/12/2021	09:05:54	770,50	0,021309	116,578011	0,322425	0,322425	
07/12/2021	09:06:04	780,45	0,014209	104,903358	0,319025	0,319025	
07/12/2021	09:06:14	790,34	0,017779	83,087883	0,325812	0,325812	
07/12/2021	09:06:24	800,44	0,014732	88,603134	0,342807	0,342807	
07/12/2021	09:06:34	810,42	0,013890	84,985428	0,335075	0,335075	
07/12/2021	09:06:44	820,55	0,016890	93,582932	0,337687	0,337687	
07/12/2021	09:06:54	830,50	0,011319	93,772797	0,312868	0,312868	
07/12/2021	09:07:04	840,41	0,009191	81,729721	0,327363	0,327363	
07/12/2021	09:07:14	850,44	0,040907	84,528053	0,350371	0,350371	
07/12/2021	09:07:24	860,58	0,016384	84,260445	0,338049	0,338049	
07/12/2021	09:07:34	870,52	0,012531	78,560722	0,331590	0,331590	
07/12/2021	09:07:44	880,44	0,014492	80,999466	0,347297	0,347297	
07/12/2021	09:07:54	890,53	0,014167	81,183716	0,336759	0,336759	
07/12/2021	09:08:04	900,59	0,019103	81,454063	0,340671	0,340671	
07/12/2021	09:08:14	910,50	0,032413	82,901115	0,343885	0,343885	
07/12/2021	09:08:24	920,64	0,029990	81,819489	0,329919	0,329919	
07/12/2021	09:08:34	930,56	0,005966	71,685440	0,319289	0,319289	
07/12/2021	09:08:43	939,67	0,009899	82,994896	0,333228	0,333228	
07/12/2021	09:08:54	950,62	0,013063	82,085670	0,347078	0,347078	
07/12/2021	09:09:03	959,69	0,024391	85,614868	0,347970	0,347970	
07/12/2021	09:09:14	970,67	0,115960	81,902115	0,354692	0,354692	
07/12/2021	09:09:41	997,67	0,019361	85,891632	0,332228	0,332228	
07/12/2021	09:09:42	998,75	0,015705	85,532059	0,324914	0,324914	
07/12/2021	09:09:44	1000,64	0,016171	88,972748	0,320968	0,320968	
07/12/2021	09:09:54	1010,62	0,033892	91,862221	0,340309	0,340309	
07/12/2021	09:10:03	1019,67	0,027755	88,696205	0,335335	0,335335	
07/12/2021	09:10:13	1029,78	0,019339	89,600845	0,336719	0,336719	
07/12/2021	09:10:23	1039,73	0,020479	88,424278	0,336116	0,336116	
07/12/2021	09:10:33	1049,66	0,050176	89,146370	0,342322	0,342322	
07/12/2021	09:10:44	1060,69	0,030570	90,869270	0,332884	0,332884	
07/12/2021	09:10:54	1070,66	0,017485	89,061554	0,326071	0,326071	
07/12/2021	09:11:03	1079,70	0,013911	89,787613	0,320147	0,320147	
07/12/2021	09:11:13	1089,69	0,020852	96,754768	0,325939	0,325939	
07/12/2021	09:11:24	1100,70	0,033220	94,940338	0,337436	0,337436	
07/12/2021	09:11:33	1109,80	0,027006	92,675545	0,343095	0,343095	
07/12/2021	09:11:43	1119,66	0,014164	98,386436	0,319688	0,319688	
07/12/2021	09:11:53	1129,81	0,034295	92,943779	0,352841	0,352841	
07/12/2021	09:12:03	1139,72	0,050607	99,830925	0,329158	0,329158	
07/12/2021	09:12:13	1149,83	0,021390	96,391823	0,328771	0,328771	
07/12/2021	09:12:23	1159,80	0,069795	95,758598	0,327625	0,327625	
07/12/2021	09:12:33	1169,72	0,021240	85,979324	0,340417	0,340417	
07/12/2021	09:12:43	1179,84	0,035076	94,309906	0,329424	0,329424	
07/12/2021	09:12:53	1189,91	0,019905	88,156807	0,325168	0,325168	
07/12/2021	09:13:03	1199,69	0,030836	85,620712	0,329948	0,329948	
07/12/2021	09:13:13	1209,78	0,025944	88,056297	0,353890	0,353890	
07/12/2021	09:13:23	1219,70	0,018793	85,802505	0,328063	0,328063	
07/12/2021	09:13:34	1230,17	0,039587	91,236015	0,319411	0,319411	
07/12/2021	09:13:43	1239,87	0,011853	96,486320	0,317481	0,317481	
07/12/2021	09:13:53	1249,87	0,020284	103,004044	0,315752	0,315752	
07/12/2021	09:14:03	1259,80	0,013925	102,640984	0,318319	0,318319	
07/12/2021	09:14:13	1269,72	0,020658	107,077995	0,313459	0,313459	
07/12/2021	09:14:23	1279,91	0,031577	106,983116	0,324283	0,324283	
07/12/2021	09:14:33	1289,84	0,039201	106,533958	0,316190	0,316190	
07/12/2021	09:14:43	1299,83	0,040986	110,152870	0,319619	0,319619	
07/12/2021	09:14:53	1309,78	0,018549	107,346611	0,320418	0,320418	
07/12/2021	09:15:03	1319,94	0,016799	109,427902	0,321789	0,321789	
07/12/2021	09:15:13	1329,91	0,030530	105,265953	0,317950	0,317950	
07/12/2021	09:15:23	1340,02	0,022960	106,081596	0,315544	0,315544	
07/12/2021	09:15:33	1349,95	0,021496	109,434906	0,305103	0,305103	
07/12/2021	09:15:43	1359,91	0,022149	109,245895	0,323902	0,323902	
07/12/2021	09:15:53	1369,81	0,025386	107,073845	0,323799	0,323799	
07/12/2021	09:16:03	1379,95	0,017256	109,973045	0,316976	0,316976	
07/12/2021	09:16:13	1389,83	0,014261	106,268318	0,301538	0,301538	
07/12/2021	09:16:23	1399,98	0,048313	111,508240	0,325116	0,325116	
07/12/2021	09:16:33	1409,91	0,022065	111,606369	0,307611	0,307611	
07/12/2021	09:16:43	1420,03	0,039662	118,576500	0,306767	0,306767	
07/12/2021	09:16:53	1430,02	0,017637	110,336533	0,313520	0,313520	
07/12/2021	09:17:03	1439,95	0,009523	107,533836	0,305479	0,305479	
07/12/2021	09:17:13	1449,89	1,245178	103,993309	0,338368	0,338368	
07/12/2021	09:17:23	1459,91	0,015469	111,244217	0,307782	0,307782	
07/12/2021	09:17:33	1470,03	0,033802	112,959221	0,318608	0,318608	
07/12/2021	09:17:43	1480,05	0,013954	109,157013	0,320161	0,320161	
07/12/2021	09:17:53	1489,98	0,014329	110,612373	0,303619	0,303619	
07/12/2021	09:18:03	1499,95	0,015898	108,710609	0,305791	0,305791	
07/12/2021	09:18:13	1510,08	0,025417	112,867012	0,322490	0,322490	
07/12/2021	09:18:23	1519,98	0,014716	106,896454	0,315351	0,315351	
07/12/2021	09:18:33	1529,91	0,022064	106,353897	0,313625	0,313625	
07/12/2021	09:18:43	1540,03	0,018125	102,003548	0,327378	0,327378	
07/12/2021	09:18:53	1549,91	0,013780	106,170380	0,319789	0,319789	
07/12/2021	09:19:03	1560,09	0,027708	107,439247	0,315609	0,315609	
07/12/2021	09:19:13	1570,09	0,019535	103,001396	0,322184	0,322184	
07/12/2021	09:19:23	1580,03	0,025769	105,444214	0,324928	0,324928	
07/12/2021	09:19:33	1590,03	0,635167	109,785576	0,334964	0,334964	
07/12/2021	09:19:43	1599,95	0,015132	127,988937	0,309430	0,309430	
07/12/2021	09:19:53	1610,09	0,011366	111,158844	0,295999	0,295999	
07/12/2021	09:20:03	1620,02	0,014821	108,704910	0,319308	0,319308	
07/12/2021	09:20:13	1629,95	0,022504	102,546684	0,328136	0,328136	
07/12/2021	09:20:23	1640,06	0,044355	100,829826	0,320367	0,320367	
07/12/2021	09:20:33	1650,03	0,013321	98,565933	0,323843	0,323843	
07/12/2021	09:20:44	1660,14	0,078522	109,334114	0,329378	0,329378	
07/12/2021	09:20:53	1670,03	0,021464	107,526634	0,323036	0,323036	
07/12/2021	09:21:04	1680,19	0,026437	103,359329	0,332673	0,332673	
07/12/2021	09:21:13	1690,12	0,036575	105,265717	0,318705	0,318705	
07/12/2021	09:21:23	1700,05	0,020385	104,628708	0,327161	0,327161	
07/12/2021	09:21:33	1710,03	0,011423	106,356667	0,307260	0,307260	
07/12/2021	09:21:44	1720,16	0,030539	113,323090	0,314549	0,314549	
07/12/2021	09:21:54	1730,27	0,015738	119,844994	0,303888	0,303888	
07/12/2021	09:22:03	1740,12	0,008049	123,652550	0,291731	0,291731	
07/12/2021	09:22:13	1750,09	0,624780	121,830574	0,318848	0,318848	
07/12/2021	09:22:24	1760,22	0,164802	117,386086	0,336713	0,336713	
07/12/2021	09:22:34	1770,25	0,023148	114,142365	0,304054	0,304054	
07/12/2021	09:22:44	1780,14	0,011756	116,310089	0,314174	0,314174	
07/12/2021	09:22:54	1790,22	0,021095	111,333092	0,311570	0,311570	
07/12/2021	09:23:04	1800,22	0,020376	113,504166	0,314466	0,314466	
07/12/2021	09:23:14	1810,22	0,017290	108,617371	0,312290	0,312290	
07/12/2021	09:23:24	1820,16	0,029919	110,514099	0,321881	0,321881	
07/12/2021	09:23:33	1830,11	0,015449	113,233986	0,311341	0,311341	
07/12/2021	09:23:44	1840,23	0,628675	115,668747	0,334425	0,334425	
07/12/2021	09:23:54	1850,16	0,020198	105,719414	0,315599	0,315599	
07/12/2021	09:24:04	1860,30	0,025792	109,073349	0,304014	0,304014	
07/12/2021	09:24:14	1870,27	0,009569	109,887726	0,304917	0,304917	
07/12/2021	09:24:24	1880,23	0,016830	111,149704	0,317126	0,317126	
07/12/2021	09:24:34	1890,19	0,026638	107,526787	0,322802	0,322802	
07/12/2021	09:24:44	1900,28	0,018472	112,062080	0,300562	0,300562	
07/12/2021	09:24:54	1910,44	0,015889	114,047325	0,314191	0,314191	
07/12/2021	09:25:04	1920,19	0,031110	113,410156	0,321993	0,321993	
07/12/2021	09:25:14	1930,31	0,023987	112,775734	0,324175	0,324175	
07/12/2021	09:25:24	1940,31	0,044195	109,253654	0,305819	0,305819	
07/12/2021	09:25:34	1950,28	0,025798	111,147835	0,321309	0,321309	
07/12/2021	09:25:44	1960,20	0,020753	114,862885	0,312035	0,312035	
07/12/2021	09:25:54	1970,34	0,020268	116,308327	0,318251	0,318251	
07/12/2021	09:26:04	1980,27	0,024502	110,512749	0,324689	0,324689	
07/12/2021	09:26:14	1990,36	0,013088	106,352425	0,317418	0,317418	
07/12/2021	09:26:24	2000,25	0,026361	112,781731	0,310349	0,310349	
07/12/2021	09:26:34	2010,41	0,015870	108,798073	0,312795	0,312795	
07/12/2021	09:26:44	2020,41	0,015493	113,053047	0,311056	0,311056	
07/12/2021	09:26:54	2030,33	0,013207	108,437943	0,308471	0,308471	
07/12/2021	09:27:04	2040,27	0,016117	106,894875	0,318751	0,318751	
07/12/2021	09:27:14	2050,41	0,025162	114,318222	0,315678	0,315678	
07/12/2021	09:27:24	2060,34	0,105929	118,936577	0,310755	0,310755	
07/12/2021	09:27:34	2070,30	0,019285	109,693642	0,335826	0,335826	
07/12/2021	09:27:44	2080,27	0,007730	107,624046	0,306180	0,306180	
07/12/2021	09:27:54	2090,39	0,040066	105,258965	0,335470	0,335470	
07/12/2021	09:28:04	2100,33	0,049230	100,190750	0,334964	0,334964	
07/12/2021	09:28:14	2110,33	0,027034	102,280731	0,313844	0,313844	
07/12/2021	09:28:24	2120,27	0,017924	108,885765	0,319614	0,319614	
07/12/2021	09:28:34	2130,47	0,014198	112,420425	0,308917	0,308917	
07/12/2021	09:28:44	2140,42	0,024625	109,334602	0,328330	0,328330	
07/12/2021	09:28:54	2150,55	0,012059	105,724281	0,303858	0,303858	
07/12/2021	09:29:04	2160,50	0,018976	104,719528	0,326077	0,326077	
07/12/2021	09:29:14	2170,44	0,024505	96,750267	0,338386	0,338386	
07/12/2021	09:29:24	2180,53	0,014410	99,557800	0,333258	0,333258	
07/12/2021	09:29:34	2190,47	0,034380	115,312492	0,318547	0,318547	
07/12/2021	09:29:44	2200,45	0,015593	116,038559	0,314266	0,314266	
07/12/2021	09:29:54	2210,39	0,012899	113,598114	0,306661	0,306661	
07/12/2021	09:30:04	2220,56	0,059193	110,514320	0,321224	0,321224	
07/12/2021	09:30:14	2230,52	0,030900	110,881821	0,308558	0,308558	
07/12/2021	09:30:24	2240,45	0,031749	106,441933	0,319829	0,319829	
07/12/2021	09:30:34	2250,36	0,012796	107,622475	0,310069	0,310069	
07/12/2021	09:30:44	2260,56	0,021056	105,987991	0,322916	0,322916	
07/12/2021	09:30:54	2270,47	0,030464	109,607567	0,324809	0,324809	
