FIDAS®, 0.18 - 18.0 µm #1
07/12/2021 08:53:34 ___ 07/12/2021 10:07:13
1 file(s)
441  intervals of 1 s 
date beginning	time beginning	date end	time end	relative time [s]	PM1_ambient - 	PM2.5_ambient - 	PM4_ambient - 	PM10_ambient - 	
07/12/2021	09:04:34	07/12/2021	09:04:44	660,72	22,04	29,99	38,17	37,83
07/12/2021	09:04:44	07/12/2021	09:04:54	670,14	8,81	15,64	19,65	40,72
07/12/2021	09:04:54	07/12/2021	09:05:04	680,25	6,88	12,19	16,28	16,23
07/12/2021	09:05:04	07/12/2021	09:05:14	690,16	7,19	15,13	22,53	25,24
07/12/2021	09:05:14	07/12/2021	09:05:24	700,67	21,16	28,87	38,83	39,03
07/12/2021	09:05:24	07/12/2021	09:05:34	710,34	12,35	19,18	28,40	30,53
07/12/2021	09:05:34	07/12/2021	09:05:44	720,56	7,53	16,94	28,05	41,07
07/12/2021	09:05:44	07/12/2021	09:05:54	730,33	7,58	16,74	27,30	27,79
07/12/2021	09:05:54	07/12/2021	09:06:04	740,28	7,25	13,93	20,36	20,49
07/12/2021	09:06:04	07/12/2021	09:06:14	750,17	5,55	12,15	20,18	21,53
07/12/2021	09:06:14	07/12/2021	09:06:24	760,27	6,96	14,70	21,94	21,54
07/12/2021	09:06:24	07/12/2021	09:06:34	770,25	6,23	13,24	19,96	19,86
07/12/2021	09:06:34	07/12/2021	09:06:44	780,37	7,18	14,89	23,40	23,34
07/12/2021	09:06:44	07/12/2021	09:06:54	790,33	6,57	11,51	15,63	16,26
07/12/2021	09:06:54	07/12/2021	09:07:04	800,23	6,45	11,49	15,16	14,96
07/12/2021	09:07:04	07/12/2021	09:07:14	810,27	6,53	14,41	24,87	34,92
07/12/2021	09:07:14	07/12/2021	09:07:24	820,41	6,27	13,88	21,48	21,94
07/12/2021	09:07:24	07/12/2021	09:07:34	830,34	5,93	11,95	17,90	17,76
07/12/2021	09:07:34	07/12/2021	09:07:44	840,27	6,81	13,90	19,66	20,17
07/12/2021	09:07:44	07/12/2021	09:07:54	850,36	6,35	12,77	19,18	19,41
07/12/2021	09:07:54	07/12/2021	09:08:04	860,42	6,34	13,22	20,25	22,56
07/12/2021	09:08:04	07/12/2021	09:08:14	870,33	6,69	13,32	19,39	28,26
07/12/2021	09:08:14	07/12/2021	09:08:24	880,47	6,03	11,76	16,52	24,74
07/12/2021	09:08:24	07/12/2021	09:08:34	890,39	5,65	9,20	10,75	10,67
07/12/2021	09:08:33	07/12/2021	09:08:43	899,50	6,52	12,67	16,48	16,25
07/12/2021	09:08:44	07/12/2021	09:08:54	910,45	6,91	13,84	19,81	19,47
07/12/2021	09:08:53	07/12/2021	09:09:03	919,52	6,83	14,47	24,67	27,47
07/12/2021	09:09:04	07/12/2021	09:09:14	930,50	6,97	14,21	18,55	40,29
07/12/2021	09:09:31	07/12/2021	09:09:41	957,50	6,53	12,96	19,71	22,32
07/12/2021	09:09:32	07/12/2021	09:09:42	958,58	6,08	12,31	18,30	19,67
07/12/2021	09:09:34	07/12/2021	09:09:44	960,47	6,17	12,27	18,66	20,03
07/12/2021	09:09:44	07/12/2021	09:09:54	970,45	7,10	14,95	22,10	30,13
07/12/2021	09:09:53	07/12/2021	09:10:03	979,50	6,63	13,89	22,01	27,33
07/12/2021	09:10:03	07/12/2021	09:10:13	989,61	6,55	14,48	25,02	25,05
07/12/2021	09:10:13	07/12/2021	09:10:23	999,56	6,78	13,62	20,98	23,68
07/12/2021	09:10:23	07/12/2021	09:10:33	1009,48	6,38	14,89	21,97	33,23
07/12/2021	09:10:34	07/12/2021	09:10:44	1020,52	6,89	13,91	18,46	26,67
07/12/2021	09:10:44	07/12/2021	09:10:54	1030,48	6,22	12,92	20,95	22,01
07/12/2021	09:10:53	07/12/2021	09:11:03	1039,53	6,40	11,69	17,16	18,25
07/12/2021	09:11:03	07/12/2021	09:11:13	1049,52	6,65	14,14	24,04	25,24
07/12/2021	09:11:14	07/12/2021	09:11:24	1060,53	6,40	15,40	26,82	32,75
07/12/2021	09:11:23	07/12/2021	09:11:33	1069,62	6,80	15,62	26,13	29,66
07/12/2021	09:11:33	07/12/2021	09:11:43	1079,48	6,62	13,42	20,64	20,36
07/12/2021	09:11:43	07/12/2021	09:11:53	1089,64	7,42	16,57	26,95	33,46
07/12/2021	09:11:53	07/12/2021	09:12:03	1099,55	6,90	14,29	20,87	35,47
07/12/2021	09:12:03	07/12/2021	09:12:13	1109,66	7,30	13,74	19,40	23,43
07/12/2021	09:12:13	07/12/2021	09:12:23	1119,62	6,44	14,65	20,11	44,17
07/12/2021	09:12:23	07/12/2021	09:12:33	1129,55	6,44	14,23	22,97	25,07
07/12/2021	09:12:33	07/12/2021	09:12:43	1139,67	6,32	14,22	22,94	31,16
07/12/2021	09:12:43	07/12/2021	09:12:53	1149,73	5,96	12,71	20,44	22,94
07/12/2021	09:12:53	07/12/2021	09:13:03	1159,52	5,86	13,06	18,64	26,55
07/12/2021	09:13:03	07/12/2021	09:13:13	1169,61	7,14	15,67	25,40	28,76
07/12/2021	09:13:13	07/12/2021	09:13:23	1179,53	6,05	12,71	20,96	22,52
07/12/2021	09:13:24	07/12/2021	09:13:34	1190,00	5,82	12,27	18,83	30,01
07/12/2021	09:13:33	07/12/2021	09:13:43	1199,70	6,38	12,97	18,58	18,21
07/12/2021	09:13:43	07/12/2021	09:13:53	1209,70	6,89	13,53	18,74	22,29
07/12/2021	09:13:53	07/12/2021	09:14:03	1219,62	7,04	14,02	20,56	20,33
07/12/2021	09:14:03	07/12/2021	09:14:13	1229,55	6,82	13,62	20,66	23,58
07/12/2021	09:14:13	07/12/2021	09:14:23	1239,73	7,21	15,04	25,74	31,76
07/12/2021	09:14:23	07/12/2021	09:14:33	1249,67	6,85	13,84	20,72	31,76
07/12/2021	09:14:33	07/12/2021	09:14:43	1259,66	6,91	15,43	24,82	35,25
07/12/2021	09:14:43	07/12/2021	09:14:53	1269,61	6,95	15,41	24,39	24,72
07/12/2021	09:14:53	07/12/2021	09:15:03	1279,77	7,63	15,20	22,57	22,99
07/12/2021	09:15:03	07/12/2021	09:15:13	1289,73	6,72	14,11	20,81	28,05
07/12/2021	09:15:13	07/12/2021	09:15:23	1299,84	6,92	13,76	20,48	24,47
07/12/2021	09:15:23	07/12/2021	09:15:33	1309,78	6,68	12,60	18,55	22,57
07/12/2021	09:15:33	07/12/2021	09:15:43	1319,73	7,10	16,26	26,49	27,66
07/12/2021	09:15:43	07/12/2021	09:15:53	1329,64	6,37	15,71	27,78	29,63
07/12/2021	09:15:53	07/12/2021	09:16:03	1339,78	7,66	14,76	21,25	22,64
07/12/2021	09:16:03	07/12/2021	09:16:13	1349,66	6,69	11,69	17,06	18,42
07/12/2021	09:16:13	07/12/2021	09:16:23	1359,81	7,01	16,18	27,86	40,24
07/12/2021	09:16:23	07/12/2021	09:16:33	1369,73	6,74	13,65	21,77	24,84
07/12/2021	09:16:33	07/12/2021	09:16:43	1379,86	7,41	13,94	18,80	30,66
07/12/2021	09:16:43	07/12/2021	09:16:53	1389,84	7,48	14,04	20,83	22,38
07/12/2021	09:16:53	07/12/2021	09:17:03	1399,78	7,09	12,92	16,26	16,06
07/12/2021	09:17:03	07/12/2021	09:17:13	1409,72	6,44	12,03	17,93	27,46
07/12/2021	09:17:13	07/12/2021	09:17:23	1419,73	6,56	13,94	21,71	21,71
07/12/2021	09:17:23	07/12/2021	09:17:33	1429,86	6,95	15,94	27,78	33,88
07/12/2021	09:17:33	07/12/2021	09:17:43	1439,87	7,91	14,94	20,62	20,81
07/12/2021	09:17:43	07/12/2021	09:17:53	1449,81	6,73	12,90	18,89	19,52
07/12/2021	09:17:53	07/12/2021	09:18:03	1459,78	6,37	13,19	21,18	21,38
07/12/2021	09:18:03	07/12/2021	09:18:13	1469,91	7,34	16,36	25,92	29,09
07/12/2021	09:18:13	07/12/2021	09:18:23	1479,81	7,22	13,98	20,52	20,80
07/12/2021	09:18:23	07/12/2021	09:18:33	1489,73	6,89	13,53	20,52	23,96
07/12/2021	09:18:33	07/12/2021	09:18:43	1499,86	7,34	15,06	23,16	23,89
07/12/2021	09:18:43	07/12/2021	09:18:53	1509,73	7,48	14,39	20,88	20,63
07/12/2021	09:18:53	07/12/2021	09:19:03	1519,92	6,63	14,22	23,15	27,99
07/12/2021	09:19:03	07/12/2021	09:19:13	1529,92	7,06	14,39	22,51	24,14
07/12/2021	09:19:13	07/12/2021	09:19:23	1539,86	6,99	15,58	27,34	29,65
07/12/2021	09:19:23	07/12/2021	09:19:33	1549,86	7,28	15,13	24,82	29,77
07/12/2021	09:19:33	07/12/2021	09:19:43	1559,78	8,37	15,99	22,63	22,55
07/12/2021	09:19:43	07/12/2021	09:19:53	1569,92	6,80	11,44	15,93	16,50
07/12/2021	09:19:53	07/12/2021	09:20:03	1579,84	7,59	14,88	20,99	21,45
07/12/2021	09:20:03	07/12/2021	09:20:13	1589,78	7,56	14,84	23,37	26,08
07/12/2021	09:20:13	07/12/2021	09:20:23	1599,89	6,90	13,44	18,46	29,61
07/12/2021	09:20:23	07/12/2021	09:20:33	1609,86	7,27	14,07	20,18	19,95
07/12/2021	09:20:34	07/12/2021	09:20:44	1619,97	7,09	16,68	23,68	47,55
07/12/2021	09:20:43	07/12/2021	09:20:53	1629,86	7,09	15,57	26,57	27,21
07/12/2021	09:20:54	07/12/2021	09:21:04	1640,02	6,88	16,64	28,92	30,82
07/12/2021	09:21:03	07/12/2021	09:21:13	1649,95	6,70	14,29	20,48	29,91
07/12/2021	09:21:13	07/12/2021	09:21:23	1659,87	6,91	15,64	26,34	26,58
07/12/2021	09:21:23	07/12/2021	09:21:33	1669,86	6,94	12,66	17,80	17,63
07/12/2021	09:21:34	07/12/2021	09:21:44	1679,98	6,96	15,16	23,26	29,44
07/12/2021	09:21:44	07/12/2021	09:21:54	1690,09	7,25	13,85	20,85	21,31
07/12/2021	09:21:53	07/12/2021	09:22:03	1699,95	7,40	12,02	14,59	14,44
07/12/2021	09:22:03	07/12/2021	09:22:13	1709,92	7,91	14,03	18,10	21,40
07/12/2021	09:22:14	07/12/2021	09:22:24	1720,05	8,31	18,01	25,01	54,92
07/12/2021	09:22:24	07/12/2021	09:22:34	1730,08	6,76	13,21	20,76	24,52
07/12/2021	09:22:34	07/12/2021	09:22:44	1739,97	8,07	14,95	19,45	19,18
07/12/2021	09:22:44	07/12/2021	09:22:54	1750,05	7,20	14,10	21,45	24,20
07/12/2021	09:22:54	07/12/2021	09:23:04	1760,05	7,92	14,41	19,81	23,40
07/12/2021	09:23:04	07/12/2021	09:23:14	1770,05	6,97	13,84	22,15	22,78
07/12/2021	09:23:14	07/12/2021	09:23:24	1779,98	7,17	16,00	26,13	30,94
07/12/2021	09:23:23	07/12/2021	09:23:33	1789,94	7,01	14,84	22,52	22,34
07/12/2021	09:23:34	07/12/2021	09:23:44	1800,06	7,90	16,27	22,92	26,17
07/12/2021	09:23:44	07/12/2021	09:23:54	1809,98	6,72	14,01	21,56	23,84
07/12/2021	09:23:54	07/12/2021	09:24:04	1820,12	6,67	12,67	17,84	23,92
07/12/2021	09:24:04	07/12/2021	09:24:14	1830,09	7,12	12,60	16,40	16,15
07/12/2021	09:24:14	07/12/2021	09:24:24	1840,06	7,23	15,35	22,82	23,22
07/12/2021	09:24:24	07/12/2021	09:24:34	1850,02	6,90	15,59	27,77	30,22
07/12/2021	09:24:34	07/12/2021	09:24:44	1860,11	6,62	12,84	20,35	22,20
07/12/2021	09:24:44	07/12/2021	09:24:54	1870,27	7,28	15,12	22,47	22,53
07/12/2021	09:24:54	07/12/2021	09:25:04	1880,02	7,67	16,02	25,02	31,19
07/12/2021	09:25:04	07/12/2021	09:25:14	1890,14	7,35	16,94	25,75	28,53
07/12/2021	09:25:14	07/12/2021	09:25:24	1900,14	6,87	12,55	15,59	26,99
07/12/2021	09:25:24	07/12/2021	09:25:34	1910,11	7,35	15,81	24,91	28,67
07/12/2021	09:25:34	07/12/2021	09:25:44	1920,03	7,08	15,15	23,34	25,36
07/12/2021	09:25:44	07/12/2021	09:25:54	1930,17	7,11	16,54	26,52	26,81
07/12/2021	09:25:54	07/12/2021	09:26:04	1940,09	7,07	16,79	28,71	29,93
07/12/2021	09:26:04	07/12/2021	09:26:14	1950,19	6,95	14,66	20,53	20,13
07/12/2021	09:26:14	07/12/2021	09:26:24	1960,08	6,84	14,37	21,19	26,49
07/12/2021	09:26:24	07/12/2021	09:26:34	1970,23	7,43	13,72	19,46	20,87
