date beginning,time beginning,time end,PM1_ambient - ,PM2.5_ambient - ,PM4_ambient - ,PM10_ambient - ,Cm [mg/m^3],Cn [P/cm^3],"M1,0 [µm]","M1,0 [µm].1",T [°C),HR [%).,Pression [mBar),Vit. Vent [m/s),Dir. Vent [°),Lumi [W/m²),Elev.,Lat.,Lon.,trajet
07/12/2021,08:58:34,08:58:44,"6,86","13,92","20,76","22,94","0,007616","79,829796","0,325026","0,325026","8,3","95,2","1007,4","1,63",357.0,"601,4",,,,Erdre_aller_0712
07/12/2021,08:58:44,08:58:54,"6,03","12,73","19,10","18,92","0,018824","82,266121","0,347939","0,347939","8,3","95,3","1007,4","1,92",30.0,"601,4",,,,Erdre_aller_0712
07/12/2021,08:58:54,08:59:04,"6,22","12,57","18,94","22,62","0,013130","73,306229","0,349125","0,349125","8,3","95,3","1007,4","1,34",37.0,"601,6",,,,Erdre_aller_0712
07/12/2021,08:59:03,08:59:13,"6,30","14,46","22,61","22,78","0,021707","77,018517","0,343748","0,343748","8,3","95,4","1007,4","1,47",25.0,"601,4",,,,Erdre_aller_0712
07/12/2021,08:59:14,08:59:24,"5,84","12,33","19,16","19,28","0,016868","75,837112","0,359659","0,359659","8,3","95,5","1007,5","1,85",58.0,"600,6",,,,Erdre_aller_0712
07/12/2021,08:59:24,08:59:34,"7,16","15,07","23,72","24,09","0,014218","77,744255","0,337341","0,337341","8,3","95,5","1007,5","0,6",34.0,"600,4",,,,Erdre_aller_0712
07/12/2021,08:59:34,08:59:44,"7,27","16,66","27,08","27,38","0,018112","87,786629","0,348726","0,348726","8,3","95,6","1007,4","0,12",191.0,"600,2",,,,Erdre_aller_0712
07/12/2021,08:59:44,08:59:54,"6,17","12,85","20,05","21,22","0,020936","84,432327","0,366165","0,366165","8,4","95,6","1007,4","1,23",338.0,"600,1",,,,Erdre_aller_0712
07/12/2021,08:59:54,09:00:04,"6,05","14,08","23,53","23,35","0,016767","72,580566","0,354657","0,354657","8,3","95,7","1007,3","0,69",325.0,"599,6",,,,Erdre_aller_0712
07/12/2021,09:00:04,09:00:14,"6,57","16,30","26,58","39,02","0,017320","75,566643","0,356226","0,356226","8,4","95,7","1007,3","0,63",18.0,"599,8",,,,Erdre_aller_0712
07/12/2021,09:00:14,09:00:24,"6,04","12,60","19,64","22,45","0,047033","76,193504","0,378979","0,378979","8,3","95,7","1007,3","1,08",331.0,"599,8",,,,Erdre_aller_0712
07/12/2021,09:00:24,09:00:34,"6,60","16,79","25,12","47,20","0,020000","73,576820","0,352453","0,352453","8,4","95,7","1007,2","1,61",281.0,"599,6",,,,Erdre_aller_0712
07/12/2021,09:00:34,09:00:44,"7,30","15,12","24,12","26,41","0,069286","80,900246","0,374856","0,374856","8,3","95,7","1007,1","1,23",301.0,"599,3",,,,Erdre_aller_0712
07/12/2021,09:00:44,09:00:54,"6,41","13,50","20,55","21,18","0,022448","86,427612","0,352977","0,352977","8,4","95,7","1007,1","0,84",351.0,599,,,,Erdre_aller_0712
07/12/2021,09:00:54,09:01:04,"7,18","14,61","21,47","22,11","0,015875","86,162201","0,334843","0,334843","8,4","95,8",1007,"0,97",245.0,"598,9",,,,Erdre_aller_0712
07/12/2021,09:01:04,09:01:14,"6,31","13,73","18,51","48,37","0,016312","83,531647","0,352898","0,352898","8,4","95,8",1007,"0,61",127.0,"598,6",,,,Erdre_aller_0712
07/12/2021,09:01:14,09:01:24,"6,24","12,43","17,62","17,38","0,203259","83,441948","0,350292","0,350292","8,4","95,8",1007,"0,52",103.0,"598,9",,,,Erdre_aller_0712
07/12/2021,09:01:24,09:01:34,"5,90","15,70","29,15","34,33","0,011511","76,837875","0,342440","0,342440","8,4","95,8","1006,9","0,67",321.0,"598,9",,,,Erdre_aller_0712
07/12/2021,09:01:34,09:01:44,"6,00","12,02","17,27","18,54","0,034551","80,995598","0,359520","0,359520","8,4","95,9","1006,9","0,87",44.0,"598,7",,,,Erdre_aller_0712
07/12/2021,09:01:44,09:01:54,"6,70","15,36","21,87","60,24","0,014262","76,115784","0,335504","0,335504","8,4","95,9","1006,9","0,91",19.0,"598,6",,,,Erdre_aller_0712
07/12/2021,09:01:54,09:02:04,"6,04","11,01","14,38","14,18","0,225270","77,370102","0,377889","0,377889","8,4","95,9","1006,8","0,79",6.0,"598,1",,,,Erdre_aller_0712
07/12/2021,09:02:04,09:02:14,"6,79","12,05","17,24","17,21","0,008728","74,487007","0,333916","0,333916","8,4","95,9","1006,8","0,68",113.0,"598,1",,,,Erdre_aller_0712
07/12/2021,09:02:14,09:02:24,"13,03","20,57","27,99","28,90","0,011432","100,834183","0,309328","0,309328","8,4","95,9","1006,8","0,77",27.0,"598,1",,,,Erdre_aller_0712
