
**********************************************************
Termite log, started at Tue Jan 25 09:56:51 2022
**********************************************************
51: Q,174,000.44,1029.2,096.8,+000.0,-000.4,,X,+0016.8,0000.000,+11.7,00,22
Q,248,000.26,1029.2,096.8,+000.0,-000.4,,X,+0016.8,0000.000,+11.7,00,2A
53: Q,241,000.24,1029.2,096.8,+000.0,-000.4,,X,+0016.9,0000.000,+11.7,00,20
Q,150,000.26,1029.2,096.8,+000.0,-000.4,,X,+0017.0,0000.000,+11.7,00,29
56: Q,178,000.10,1029.2,096.8,+000.0,-000.5,,X,+0016.9,0000.000,+11.7,00,2F
Q,182,000.55,1029.2,096.8,+000.0,-000.5,,X,+0016.8,0000.000,+11.7,00,2A
57: Q,204,000.74,1029.2,096.8,+000.0,-000.5,,X,+0016.9,0000.000,+11.7,00,25
Q,193,000.78,1029.2,096.8,+000.0,-000.5,,X,+0017.1,0000.000,+11.7,00,2D
59: Q,185,000.74,1029.2,096.8,+000.0,-000.5,,X,+0017.1,0000.000,+11.7,00,26
Q,187,000.74,1029.2,096.8,+000.0,-000.5,,X,+0017.3,0000.000,+11.7,00,26
01:02: Q,159,000.80,1029.2,096.8,+000.0,-000.5,,X,+0017.4,0000.000,+11.7,00,29
Q,160,000.75,1029.2,096.8,+000.0,-000.5,,X,+0017.5,0000.000,+11.7,00,28
01:03: Q,170,000.61,1029.2,096.7,+000.0,-000.5,,X,+0017.6,0000.000,+11.7,00,20
Q,195,000.62,1029.2,096.7,+000.0,-000.5,,X,+0017.6,0000.000,+11.7,00,28
01:05: Q,199,000.58,1029.2,096.7,+000.0,-000.5,,X,+0017.7,0000.000,+11.7,00,2C
Q,193,000.41,1029.2,096.7,+000.0,-000.5,,X,+0017.7,0000.000,+11.7,00,2E
01:07: Q,200,000.44,1029.2,096.7,+000.0,-000.5,,X,+0017.7,0000.000,+11.7,00,22
01:09: Q,184,000.40,1029.2,096.7,-000.1,-000.5,,X,+0017.6,0000.000,+11.7,00,2F
Q,175,000.61,1029.2,096.7,-000.1,-000.5,,X,+0017.7,0000.000,+11.7,00,23
01:10: Q,190,000.48,1029.2,096.7,-000.1,-000.5,,X,+0017.7,0000.000,+11.7,00,23
Q,183,000.74,1029.2,096.7,-000.1,-000.5,,X,+0017.7,0000.000,+11.7,00,2E
01:12: Q,220,000.58,1029.2,096.7,-000.1,-000.5,,X,+0017.7,0000.000,+11.7,00,2A
Q,182,000.54,1029.2,096.7,+000.0,-000.5,,X,+0017.7,0000.000,+11.7,00,2A
01:15: Q,163,000.55,1029.2,096.6,+000.0,-000.5,,X,+0017.9,0000.000,+11.7,00,2B
Q,158,000.79,1029.2,096.6,+000.0,-000.5,,X,+0017.8,0000.000,+11.7,00,2C
01:16: Q,154,000.77,1029.2,096.6,+000.0,-000.5,,X,+0017.9,0000.000,+11.7,00,2F
Q,153,000.92,1029.2,096.6,+000.0,-000.5,,X,+0017.9,0000.000,+11.7,00,23
01:18: Q,152,000.94,1029.2,096.6,+000.0,-000.5,,X,+0018.0,0000.000,+11.7,00,22
Q,160,000.79,1029.2,096.6,+000.0,-000.5,,X,+0018.0,0000.000,+11.7,00,20
01:21: Q,155,000.81,1029.2,096.6,+000.0,-000.5,,X,+0018.0,0000.000,+11.7,00,21
Q,144,000.79,1029.2,096.6,+000.0,-000.5,,X,+0018.0,0000.000,+11.7,00,26
01:22: Q,155,000.75,1029.2,096.6,+000.0,-000.5,,X,+0017.9,0000.000,+11.7,00,2C
Q,153,000.74,1029.2,096.5,+000.0,-000.5,,X,+0018.0,0000.000,+11.7,00,2E
01:24: Q,156,000.69,1029.2,096.5,+000.0,-000.5,,X,+0017.9,0000.000,+11.7,00,21
Q,152,000.68,1029.2,096.5,-000.1,-000.5,,X,+0017.7,0000.000,+11.7,00,2D
01:26: Q,167,000.52,1029.2,096.5,-000.1,-000.5,,X,+0017.4,0000.000,+11.7,00,21
01:28: Q,156,000.39,1029.2,096.5,-000.1,-000.5,,X,+0017.3,0000.000,+11.7,00,29
Q,189,000.41,1029.2,096.5,-000.1,-000.5,,X,+0017.1,0000.000,+11.7,00,26
01:29: Q,209,000.44,1029.2,096.5,-000.1,-000.5,,X,+0017.2,0000.000,+11.7,00,2B
Q,247,000.26,1029.2,096.5,-000.1,-000.5,,X,+0017.4,0000.000,+11.7,00,23
01:31: Q,257,000.33,1029.2,096.5,+000.0,-000.5,,X,+0017.5,0000.000,+11.7,00,20
Q,273,000.21,1029.2,096.5,+000.0,-000.5,,X,+0017.5,0000.000,+11.7,00,25
01:34: Q,223,000.18,1029.2,096.5,+000.0,-000.5,,X,+0017.6,0000.000,+11.7,00,29
Q,257,000.05,1029.2,096.5,+000.0,-000.5,,X,+0017.6,0000.000,+11.7,00,26
01:35: Q,220,000.13,1029.2,096.4,-000.1,-000.5,,X,+0017.1,0000.000,+11.7,00,20
Q,026,000.07,1029.2,096.4,-000.1,-000.5,,X,+0016.7,0000.000,+11.7,00,26
01:37: Q,169,000.08,1029.2,096.4,-000.1,-000.6,,X,+0016.7,0000.000,+11.7,00,20
Q,013,000.24,1029.2,096.4,-000.1,-000.6,,X,+0016.8,0000.000,+11.7,00,2D
01:40: Q,093,000.25,1029.2,096.4,-000.1,-000.6,,X,+0016.7,0000.000,+11.7,00,2B
Q,110,000.07,1029.2,096.4,-000.1,-000.6,,X,+0016.5,0000.000,+11.7,00,23
01:41: Q,213,000.10,1029.2,096.3,-000.1,-000.6,,X,+0016.4,0000.000,+11.7,00,23
Q,222,000.16,1029.2,096.3,-000.1,-000.6,,X,+0016.5,0000.000,+11.7,00,26
01:43: Q,111,000.07,1029.2,096.3,-000.1,-000.6,,X,+0016.5,0000.000,+11.7,00,25
Q,196,000.22,1029.2,096.3,-000.1,-000.6,,X,+0016.7,0000.000,+11.7,00,2F
01:46: Q,277,000.06,1029.2,096.3,-000.1,-000.6,,X,+0016.8,0000.000,+11.7,00,2A
Q,074,000.02,1029.2,096.3,-000.1,-000.6,,X,+0016.9,0000.000,+11.7,00,2E
