*
08/11/2021 08:22:32 ___ 08/11/2021 11:13:51
1 file(s)
9999  intervals of 1 s 
date beginning	time beginning	date end	time end	relative time [s]	PMtotal_classic - 	PM1_classic - 	PM2.5_classic - 	PM4_classic - 	
08/11/2021	08:24:33	08/11/2021	08:24:34	120,73	0,62	0,53	0,62	0,62
08/11/2021	08:24:34	08/11/2021	08:24:35	121,75	0,61	0,49	0,61	0,61
08/11/2021	08:24:35	08/11/2021	08:24:36	122,73	0,17	0,17	0,17	0,17
08/11/2021	08:24:36	08/11/2021	08:24:37	123,73	0,29	0,29	0,29	0,29
08/11/2021	08:24:37	08/11/2021	08:24:38	124,72	0,22	0,22	0,22	0,22
08/11/2021	08:24:38	08/11/2021	08:24:39	125,70	0,34	0,34	0,34	0,34
08/11/2021	08:24:39	08/11/2021	08:24:40	126,72	0,12	0,12	0,12	0,12
08/11/2021	08:24:40	08/11/2021	08:24:41	127,70	0,53	0,50	0,53	0,53
08/11/2021	08:24:41	08/11/2021	08:24:42	128,72	0,78	0,75	0,78	0,78
08/11/2021	08:24:42	08/11/2021	08:24:43	129,70	0,20	0,20	0,20	0,20
08/11/2021	08:24:43	08/11/2021	08:24:44	130,73	0,14	0,14	0,14	0,14
08/11/2021	08:24:44	08/11/2021	08:24:45	131,72	1,27	0,71	1,26	1,27
08/11/2021	08:24:45	08/11/2021	08:24:46	132,70	0,30	0,30	0,30	0,30
08/11/2021	08:24:46	08/11/2021	08:24:47	133,72	0,43	0,40	0,43	0,43
08/11/2021	08:24:47	08/11/2021	08:24:48	134,70	0,21	0,21	0,21	0,21
08/11/2021	08:24:48	08/11/2021	08:24:49	135,69	0,40	0,40	0,40	0,40
08/11/2021	08:24:49	08/11/2021	08:24:50	136,69	0,15	0,15	0,15	0,15
08/11/2021	08:24:50	08/11/2021	08:24:51	137,67	0,41	0,41	0,41	0,41
08/11/2021	08:24:51	08/11/2021	08:24:52	138,67	0,45	0,45	0,45	0,45
08/11/2021	08:25:19	08/11/2021	08:25:20	166,73	0,39	0,39	0,39	0,39
08/11/2021	08:25:20	08/11/2021	08:25:21	167,73	0,41	0,41	0,41	0,41
08/11/2021	08:25:21	08/11/2021	08:25:22	168,72	0,38	0,38	0,38	0,38
08/11/2021	08:25:22	08/11/2021	08:25:23	169,72	3,06	0,66	2,87	3,06
08/11/2021	08:25:23	08/11/2021	08:25:24	170,72	0,12	0,12	0,12	0,12
08/11/2021	08:25:24	08/11/2021	08:25:25	171,72	0,52	0,50	0,52	0,52
08/11/2021	08:25:25	08/11/2021	08:25:26	172,70	0,62	0,50	0,62	0,62
08/11/2021	08:25:26	08/11/2021	08:25:27	173,70	0,21	0,21	0,21	0,21
08/11/2021	08:25:27	08/11/2021	08:25:28	174,69	0,22	0,22	0,22	0,22
08/11/2021	08:25:28	08/11/2021	08:25:29	175,69	1,97	0,51	1,89	1,97
08/11/2021	08:25:29	08/11/2021	08:25:30	176,69	1,06	0,78	1,05	1,06
08/11/2021	08:25:30	08/11/2021	08:25:31	177,69	0,26	0,26	0,26	0,26
08/11/2021	08:25:31	08/11/2021	08:25:32	178,69	0,20	0,20	0,20	0,20
08/11/2021	08:25:32	08/11/2021	08:25:33	179,67	0,41	0,39	0,41	0,41
08/11/2021	08:25:33	08/11/2021	08:25:34	180,69	0,53	0,53	0,53	0,53
