time,latitude,longitude,altitude,name
2022-01-25 08:58:54+00:00,47.23881622776389,-1.5707145910710096,109.0,
2022-01-25 08:58:54+00:00,47.23875323776156,-1.5707881841808558,96.0,
2022-01-25 08:58:55+00:00,47.23876514006406,-1.5706958156079054,89.0,
2022-01-25 08:58:57+00:00,47.23876861855388,-1.57066916115582,87.0,
2022-01-25 08:58:58+00:00,47.238765810616314,-1.570676201954484,84.0,
2022-01-25 08:58:59+00:00,47.238765810616314,-1.570676201954484,84.0,
2022-01-25 08:59:00+00:00,47.238765810616314,-1.570676201954484,84.0,
2022-01-25 08:59:01+00:00,47.238765810616314,-1.570676201954484,84.0,
2022-01-25 08:59:02+00:00,47.238765810616314,-1.570676201954484,84.0,
2022-01-25 08:59:03+00:00,47.23876564297825,-1.5706686582416296,84.0,
2022-01-25 08:59:04+00:00,47.23876845091581,-1.5706660598516464,83.0,
2022-01-25 08:59:05+00:00,47.23877909593284,-1.570671508088708,82.0,
2022-01-25 08:59:06+00:00,47.23878466989845,-1.5706784650683403,82.0,
2022-01-25 08:59:07+00:00,47.238794937729836,-1.5706874337047338,82.0,
2022-01-25 08:59:08+00:00,47.238802523352206,-1.5706936363130808,81.0,
2022-01-25 08:59:09+00:00,47.23881077952683,-1.5707026049494743,81.0,
2022-01-25 08:59:10+00:00,47.238821969367564,-1.5707111544907093,82.0,
2022-01-25 08:59:11+00:00,47.2388329077512,-1.5707160998135805,82.0,
2022-01-25 08:59:12+00:00,47.23883508704603,-1.5707160998135805,82.0,
2022-01-25 08:59:13+00:00,47.238835422322154,-1.570704448968172,81.0,
2022-01-25 08:59:14+00:00,47.23883948754519,-1.5706919599324465,81.0,
2022-01-25 08:59:15+00:00,47.23883948754519,-1.5706919599324465,81.0,
2022-01-25 08:59:16+00:00,47.23883948754519,-1.5706919599324465,81.0,
2022-01-25 08:59:17+00:00,47.23883948754519,-1.5706919599324465,81.0,
2022-01-25 08:59:18+00:00,47.23883948754519,-1.5706919599324465,81.0,
2022-01-25 08:59:19+00:00,47.23883948754519,-1.5706919599324465,81.0,
2022-01-25 08:59:20+00:00,47.23883948754519,-1.5706919599324465,81.0,
2022-01-25 08:59:21+00:00,47.23883948754519,-1.5706919599324465,81.0,
2022-01-25 08:59:22+00:00,47.23883948754519,-1.5706919599324465,81.0,
2022-01-25 08:59:23+00:00,47.23883948754519,-1.5706919599324465,81.0,
2022-01-25 08:59:24+00:00,47.23883948754519,-1.5706919599324465,81.0,
2022-01-25 08:59:25+00:00,47.23885118030012,-1.570693552494049,81.0,
2022-01-25 08:59:26+00:00,47.238865764811635,-1.5706958156079054,82.0,
2022-01-25 08:59:27+00:00,47.23888202570379,-1.5707051195204258,82.0,
2022-01-25 08:59:28+00:00,47.23889778368175,-1.5707124955952168,82.0,
2022-01-25 08:59:29+00:00,47.23891295492649,-1.5707260742783546,82.0,
2022-01-25 08:59:30+00:00,47.238922216929495,-1.5707366354763508,82.0,
2022-01-25 08:59:31+00:00,47.23893131129444,-1.5707481186836958,83.0,
2022-01-25 08:59:32+00:00,47.238939818926156,-1.570760691538453,83.0,
2022-01-25 08:59:33+00:00,47.23894765600562,-1.570774856954813,83.0,
2022-01-25 08:59:34+00:00,47.23895700182766,-1.5707881841808558,84.0,
2022-01-25 08:59:35+00:00,47.23896353971213,-1.5708009246736765,84.0,
2022-01-25 08:59:36+00:00,47.23897225689143,-1.5708105638623238,85.0,
2022-01-25 08:59:37+00:00,47.238980890251696,-1.5708224661648273,85.0,
2022-01-25 08:59:38+00:00,47.23898914642632,-1.5708354581147432,85.0,
2022-01-25 08:59:39+00:00,47.23899685777724,-1.5708495397120714,85.0,
2022-01-25 08:59:40+00:00,47.23900544922799,-1.5708611905574799,85.0,
2022-01-25 08:59:41+00:00,47.23901760298759,-1.57087292522192,85.0,
2022-01-25 08:59:42+00:00,47.23902812227607,-1.5708857495337725,86.0,
2022-01-25 08:59:43+00:00,47.23903558216989,-1.5708989929407835,86.0,
2022-01-25 08:59:44+00:00,47.239041700959206,-1.5709134936332703,86.0,
2022-01-25 08:59:45+00:00,47.23904924467206,-1.5709269884973764,86.0,
2022-01-25 08:59:46+00:00,47.23905724938959,-1.5709410700947046,86.0,
2022-01-25 08:59:47+00:00,47.239064876921475,-1.5709532238543034,86.0,
2022-01-25 08:59:48+00:00,47.23907535430044,-1.570965126156807,86.0,
2022-01-25 08:59:49+00:00,47.239087633788586,-1.5709744300693274,87.0,
2022-01-25 08:59:50+00:00,47.239098865538836,-1.570986332371831,87.0,
2022-01-25 08:59:51+00:00,47.23910884000361,-1.570999240502715,87.0,
2022-01-25 08:59:52+00:00,47.23912216722965,-1.5710035990923643,87.0,
2022-01-25 08:59:53+00:00,47.23913168068975,-1.5710115619003773,87.0,
2022-01-25 08:59:54+00:00,47.23913955967873,-1.5710217040032148,87.0,
2022-01-25 08:59:55+00:00,47.239150162786245,-1.5710304211825132,87.0,
2022-01-25 08:59:56+00:00,47.23916424438357,-1.571040814742446,87.0,
2022-01-25 08:59:57+00:00,47.239176272414625,-1.5710474364459515,87.0,
2022-01-25 08:59:58+00:00,47.23918813280761,-1.5710553992539644,87.0,
2022-01-25 08:59:59+00:00,47.23920150194317,-1.5710668824613094,87.0,
2022-01-25 09:00:00+00:00,47.239216337911785,-1.5710790362209082,87.0,
2022-01-25 09:00:01+00:00,47.23923025187105,-1.5710927825421095,87.0,
2022-01-25 09:00:02+00:00,47.23924328573048,-1.5711036790162325,87.0,
2022-01-25 09:00:03+00:00,47.23925380501896,-1.5711149107664824,87.0,
